close,high,date,low,open,volume_from,volume_to,symbol,btc_price
0.003111,0.004445,2014-06-27,0.003048,0.003371,0,0,DOGE,6350
0.003185,0.00325,2014-06-28,0.003055,0.003111,0,0,DOGE,6689
0.002906,0.003293,2014-06-29,0.002906,0.003185,0,0,DOGE,6500
0.002952,0.00387,2014-06-30,0.002624,0.002906,0,0,DOGE,6998
0.002967,0.003243,2014-07-01,0.00069,0.002952,0,0,DOGE,7198
0.002448,0.002924,2014-07-02,0.001972,0.002967,0,0,DOGE,7194
0.002108,0.002924,2014-07-03,0.00204,0.002448,0,0,DOGE,7149.99
0.002466,0.003356,2014-07-04,0.002123,0.002108,0,0,DOGE,7099.99
0.00245,0.00287,2014-07-05,0.00238,0.002466,0,0,DOGE,7099.99
0.00245,0.00308,2014-07-06,0.00196,0.00245,0,0,DOGE,7000
0.002702,0.002905,2014-07-07,0.002229,0.00245,0,0,DOGE,7000
0.00304,0.03378,2014-07-08,0.002432,0.002702,0,0,DOGE,6990
0.003121,0.01696,2014-07-09,0.002918,0.00304,0,0,DOGE,6990
0.002965,0.003427,2014-07-10,0.002175,0.003121,0,0,DOGE,6850
0.003191,0.003191,2014-07-11,0.002566,0.002965,0,0,DOGE,6949.99
0.003261,0.003469,2014-07-12,0.002776,0.003191,0,0,DOGE,6939
0.003172,0.003172,2014-07-13,0.002767,0.003261,0,0,DOGE,6939
0.00276,0.003312,2014-07-14,0.00276,0.003172,0,0,DOGE,6900
0.00272,0.002992,2014-07-15,0.00272,0.00276,0,0,DOGE,6900
0.002244,0.002856,2014-07-16,0.002244,0.00272,0,0,DOGE,6850
0.00267,0.00287,2014-07-17,0.002203,0.002244,0,0,DOGE,6850
0.00272,0.002856,2014-07-18,0.002244,0.00267,0,0,DOGE,6900.22
0.002641,0.00278,2014-07-19,0.002572,0.00272,0,0,DOGE,6950
0.002523,0.002796,2014-07-20,0.002387,0.002641,0,0,DOGE,6950
0.00276,0.002829,2014-07-21,0.002415,0.002523,0,0,DOGE,6950
0.002422,0.002768,2014-07-22,0.002353,0.00276,0,0,DOGE,6950
0.002373,0.002644,2014-07-23,0.002373,0.002422,0,0,DOGE,6950
0.002462,0.002598,2014-07-24,0.002393,0.002373,0,0,DOGE,6950
0.002565,0.002565,2014-07-25,0.002427,0.002462,0,0,DOGE,6935.2
0.002484,0.002553,2014-07-26,0.002415,0.002565,0,0,DOGE,6933
0.002488,0.002556,2014-07-27,0.002286,0.002484,0,0,DOGE,6899
0.002345,0.002613,2014-07-28,0.002345,0.002488,0,0,DOGE,6890
0.002453,0.00259,2014-07-29,0.002249,0.002345,0,0,DOGE,6820
0.002108,0.002418,2014-07-30,0.002046,0.002453,0,0,DOGE,6815
0.002546,0.002546,2014-07-31,0.002278,0.002108,0,0,DOGE,6700
0.002275,0.00247,2014-08-01,0.00221,0.002546,0,0,DOGE,6799
0.002345,0.002479,2014-08-02,0.002211,0.002275,0,0,DOGE,6788
0.002294,0.002564,2014-08-03,0.002227,0.002345,0,0,DOGE,6749
0.002162,0.002358,2014-08-04,0.002096,0.002294,0,0,DOGE,6748
0.002159,0.00235,2014-08-05,0.001842,0.002162,0,0,DOGE,6700
0.001984,0.00224,2014-08-06,0.001664,0.002159,0,0,DOGE,6500
0.001827,0.001953,2014-08-07,0.001764,0.001984,0,0,DOGE,6549
0.002015,0.002015,2014-08-08,0.00182,0.001827,0,0,DOGE,6585
0.00195,0.002015,2014-08-09,0.001755,0.002015,0,0,DOGE,6585
0.001664,0.00192,2014-08-10,0.001664,0.00195,0,0,DOGE,6500
0.001849,0.001849,2014-08-11,0.001594,0.001664,0,0,DOGE,6600
0.001727,0.001855,2014-08-12,0.001599,0.001849,0,0,DOGE,6542.59
0.001599,0.001845,2014-08-13,0.001476,0.001727,0,0,DOGE,6399
0.00156,0.0018,2014-08-14,0.00132,0.001599,0,0,DOGE,6199
0.001708,0.001769,2014-08-15,0.001464,0.00156,0,0,DOGE,6190
0.001464,0.001707,2014-08-16,0.001342,0.001708,0,0,DOGE,6099
0.001495,0.001495,2014-08-17,0.001323,0.001464,0,0,DOGE,6098
0.001208,0.001365,2014-08-18,0.001102,0.001495,0,0,DOGE,6000
0.001344,0.001456,2014-08-19,0.001288,0.001208,0,0,DOGE,5700
0.001475,0.001593,2014-08-20,0.001416,0.001344,0,0,DOGE,5900
0.001283,0.001488,2014-08-21,0.001231,0.001475,0,0,DOGE,6089
0.001485,0.001663,2014-08-22,0.001425,0.001283,0,0,DOGE,5939
0.00148,0.001539,2014-08-23,0.001421,0.001485,0,0,DOGE,5939
0.00154,0.00154,2014-08-24,0.001265,0.00148,0,0,DOGE,5920
0.001254,0.001526,2014-08-25,0.001199,0.00154,0,0,DOGE,5844
