close,high,date,low,open,volume_from,volume_to,symbol,btc_price
0,0,2014-06-27,0,0,0,0,BCN,6350
0,0,2014-06-28,0,0,0,0,BCN,6689
0,0,2014-06-29,0,0,0,0,BCN,6500
0,0,2014-06-30,0,0,0,0,BCN,6998
0,0,2014-07-01,0,0,0,0,BCN,7198
0,0,2014-07-02,0,0,0,0,BCN,7194
0,0,2014-07-03,0,0,0,0,BCN,7149.99
0,0,2014-07-04,0,0,0,0,BCN,7099.99
0,0,2014-07-05,0,0,0,0,BCN,7099.99
0,0,2014-07-06,0,0,0,0,BCN,7000
0,0,2014-07-07,0,0,0,0,BCN,7000
0,0,2014-07-08,0,0,0,0,BCN,6990
0,0,2014-07-09,0,0,0,0,BCN,6990
0,0,2014-07-10,0,0,0,0,BCN,6850
0,0,2014-07-11,0,0,0,0,BCN,6949.99
0,0,2014-07-12,0,0,0,0,BCN,6939
0,0,2014-07-13,0,0,0,0,BCN,6939
0,0,2014-07-14,0,0,0,0,BCN,6900
0,0,2014-07-15,0,0,0,0,BCN,6900
0,0,2014-07-16,0,0,0,0,BCN,6850
0,0,2014-07-17,0,0,0,0,BCN,6850
0,0,2014-07-18,0,0,0,0,BCN,6900.22
0,0,2014-07-19,0,0,0,0,BCN,6950
0,0,2014-07-20,0,0,0,0,BCN,6950
0,0,2014-07-21,0,0,0,0,BCN,6950
0,0,2014-07-22,0,0,0,0,BCN,6950
0,0,2014-07-23,0,0,0,0,BCN,6950
0,0,2014-07-24,0,0,0,0,BCN,6950
0,0,2014-07-25,0,0,0,0,BCN,6935.2
0,0,2014-07-26,0,0,0,0,BCN,6933
0,0,2014-07-27,0,0,0,0,BCN,6899
0,0,2014-07-28,0,0,0,0,BCN,6890
0,0,2014-07-29,0,0,0,0,BCN,6820
0,0,2014-07-30,0,0,0,0,BCN,6815
0,0,2014-07-31,0,0,0,0,BCN,6700
0,0,2014-08-01,0,0,0,0,BCN,6799
0,0,2014-08-02,0,0,0,0,BCN,6788
0,0,2014-08-03,0,0,0,0,BCN,6749
0,0,2014-08-04,0,0,0,0,BCN,6748
0,0,2014-08-05,0,0,0,0,BCN,6700
0,0,2014-08-06,0,0,0,0,BCN,6500
0,0,2014-08-07,0,0,0,0,BCN,6549
0,0,2014-08-08,0,0,0,0,BCN,6585
0,0,2014-08-09,0,0,0,0,BCN,6585
0,0,2014-08-10,0,0,0,0,BCN,6500
0,0,2014-08-11,0,0,0,0,BCN,6600
0,0,2014-08-12,0,0,0,0,BCN,6542.59
0,0,2014-08-13,0,0,0,0,BCN,6399
0,0,2014-08-14,0,0,0,0,BCN,6199
0,0,2014-08-15,0,0,0,0,BCN,6190
0,0,2014-08-16,0,0,0,0,BCN,6099
0,0,2014-08-17,0,0,0,0,BCN,6098
0,0,2014-08-18,0,0,0,0,BCN,6000
0,0,2014-08-19,0,0,0,0,BCN,5700
0,0,2014-08-20,0,0,0,0,BCN,5900
0,0,2014-08-21,0,0,0,0,BCN,6089
0,0,2014-08-22,0,0,0,0,BCN,5939
0,0,2014-08-23,0,0,0,0,BCN,5939
0,0,2014-08-24,0,0,0,0,BCN,5920
0,0,2014-08-25,0,0,0,0,BCN,5844
0,0,2014-08-26,0,0,0,0,BCN,5720
0,0,2014-08-27,0,0,0,0,BCN,5839
0,0,2014-08-28,0,0,0,0,BCN,6100
0,0,2014-08-29,0,0,0,0,BCN,5646.53
0,0,2014-08-30,0,0,0,0,BCN,5730.77
0,0,2014-08-31,0,0,0,0,BCN,5564
0,0,2014-09-01,0,0,0,0,BCN,5564
0,0,2014-09-02,0,0,0,0,BCN,5561.89
0,0,2014-09-03,0,0,0,0,BCN,5614.53
0,0,2014-09-04,0,0,0,0,BCN,5688.71
0,0,2014-09-05,0,0,0,0,BCN,5599
0,0,2014-09-06,0,0,0,0,BCN,5599
0,0,2014-09-07,0,0,0,0,BCN,5489
0,0,2014-09-08,0,0,0,0,BCN,5598
0,0,2014-09-09,0,0,0,0,BCN,5599
0,0,2014-09-10,0,0,0,0,BCN,5489.99
0,0,2014-09-11,0,0,0,0,BCN,5599
0,0,2014-09-12,0,0,0,0,BCN,5879
0,0,2014-09-13,0,0,0,0,BCN,5700
0,0,2014-09-14,0,0,0,0,BCN,5590
0,0,2014-09-15,0,0,0,0,BCN,5699
0,0,2014-09-16,0,0,0,0,BCN,5697.99
0,0,2014-09-17,0,0,0,0,BCN,5649.98
0,0,2014-09-18,0,0,0,0,BCN,5400
0,0,2014-09-19,0,0,0,0,BCN,5500
0,0,2014-09-20,0,0,0,0,BCN,5100
0,0,2014-09-21,0,0,0,0,BCN,5100
0,0,2014-09-22,0,0,0,0,BCN,5075
0,0,2014-09-23,0,0,0,0,BCN,5240
0,0,2014-09-24,0,0,0,0,BCN,5450
0,0,2014-09-25,0,0,0,0,BCN,5100
0,0,2014-09-26,0,0,0,0,BCN,5239
0,0,2014-09-27,0,0,0,0,BCN,5000
0,0,2014-09-28,0,0,0,0,BCN,5000
0,0,2014-09-29,0,0,0,0,BCN,4795.04
0,0,2014-09-30,0,0,0,0,BCN,4780
0,0,2014-10-01,0,0,0,0,BCN,4697.9
0,0,2014-10-02,0,0,0,0,BCN,4900
0,0,2014-10-03,0,0,0,0,BCN,4900
0,0,2014-10-04,0,0,0,0,BCN,4750
0,0,2014-10-05,0,0,0,0,BCN,4200
0,0,2014-10-06,0,0,0,0,BCN,4475
0,0,2014-10-07,0,0,0,0,BCN,4200
0,0,2014-10-08,0,0,0,0,BCN,4200
0,0,2014-10-09,0,0,0,0,BCN,4720
0,0,2014-10-10,0,0,0,0,BCN,4600
0,0,2014-10-11,0,0,0,0,BCN,4500
0,0,2014-10-12,0,0,0,0,BCN,4540.94
0,0,2014-10-13,0,0,0,0,BCN,4699
0,0,2014-10-14,0,0,0,0,BCN,4800.37
0,0,2014-10-15,0,0,0,0,BCN,4790
0,0,2014-10-16,0,0,0,0,BCN,4530
0,0,2014-10-17,0,0,0,0,BCN,4530
0,0,2014-10-18,0,0,0,0,BCN,4380
0,0,2014-10-19,0,0,0,0,BCN,4430
0,0,2014-10-20,0,0,0,0,BCN,4399
0,0,2014-10-21,0,0,0,0,BCN,4400
0,0,2014-10-22,0,0,0,0,BCN,4390
0,0,2014-10-23,0,0,0,0,BCN,4431.02
0,0,2014-10-24,0,0,0,0,BCN,4290
0,0,2014-10-25,0,0,0,0,BCN,4300
0,0,2014-10-26,0,0,0,0,BCN,4249.57
0,0,2014-10-27,0,0,0,0,BCN,4126.01
0,0,2014-10-28,0,0,0,0,BCN,4260
0,0,2014-10-29,0,0,0,0,BCN,4165
0,0,2014-10-30,0,0,0,0,BCN,4140
0,0,2014-10-31,0,0,0,0,BCN,4100
0,0,2014-11-01,0,0,0,0,BCN,3930
0,0,2014-11-02,0,0,0,0,BCN,3815
0,0,2014-11-03,0,0,0,0,BCN,3815
